Formal_Education,Position,Years_Coding,Salary,Age
3.9501187648456058,3.505938242280285,3.356294536817102,26373.016627078385,19.5
4.3585657370517925,3.530323151837096,3.474988933156264,24580.50973882249,23.0
4.624508261211644,3.1709284028324154,4.8448072383949645,38902.08762785209,27.0
4.754253715270299,3.0934740469524016,7.292052552229162,57561.585397372386,32.0
4.811253349211075,3.0762131586781782,9.466805596903841,67868.58618636499,37.0
4.7542662116040955,3.33617747440273,10.841296928327646,76011.8781996587,42.0
4.586929716399506,3.593711467324291,11.158446362515413,78144.23427866831,47.0
4.728091728091728,3.4594594594594597,12.52989352989353,87293.9357084357,52.0
4.7514450867052025,3.527456647398844,13.036127167630058,97674.73193641618,57.0
4.756933115823817,3.8123980424143555,13.765089722675366,95371.45269168026,64.5
