Formal_Education,Position,Years_Coding,Salary,Age
3.9322709163346614,3.555776892430279,3.3306772908366535,25774.40139442231,19.5
4.3630573248407645,3.5114275009366804,3.464968152866242,24134.476395653805,23.0
4.644396551724138,3.140417771883289,4.790119363395226,39326.00969827586,27.0
4.789493087557604,3.016774193548387,7.2060829493087555,56964.52534562212,32.0
4.84025974025974,3.07012987012987,9.398441558441558,67152.81545454546,37.0
4.793320964749536,3.286456400742115,10.700556586270872,74477.24248608535,42.0
4.5768179332968835,3.534718425369054,11.112083105522144,77207.67878622198,47.0
4.76418570375829,3.4362564480471627,12.373618275607958,84853.41009579955,52.0
4.761904761904762,3.4669312169312168,12.845238095238095,97825.90277777778,57.0
4.785060975609756,3.7865853658536586,13.666158536585366,95787.62195121951,64.5
