Gender,Formal_Education,Position,Years_Coding,Salary,Age
1.0,1.3703703703703705,3.814814814814815,3.197530864197531,22663.08024691358,19.5
1.0,1.6682926829268292,3.4073170731707316,3.4097560975609755,21676.941463414634,23.0
1.0,2.159282700421941,2.976793248945148,4.496835443037975,41599.44831223629,27.0
1.0,2.053708439897698,2.561381074168798,6.695652173913044,53419.57672634271,32.0
1.0,2.034623217922607,3.0285132382892055,8.930753564154786,62256.12729124236,37.0
1.0,1.8917378917378918,2.9544159544159543,9.760683760683762,64228.849002849005,42.0
1.0,2.3285024154589373,3.072463768115942,10.748792270531402,69869.06521739131,47.0
1.0,2.073529411764706,3.2279411764705883,10.970588235294118,62942.51470588235,52.0
1.0,1.765625,2.8125,10.78125,99460.4375,57.0
1.0,1.930232558139535,3.4186046511627906,12.255813953488373,101720.45348837209,64.5
